date,close
10/30/2015,108.38
11/02/2015,107.64
11/03/2015,109.74
11/04/2015,114.05
11/05/2015,113.5
11/06/2015,114.06
11/09/2015,109.86
11/10/2015,112.7
11/11/2015,112.86
11/12/2015,108.92
11/13/2015,103.65
11/16/2015,111.35
11/17/2015,117.1
11/18/2015,120.63
11/19/2015,120.22
11/20/2015,123.84
11/23/2015,125.03
11/24/2015,123.31
11/25/2015,124.16
11/27/2015,125.44
11/30/2015,123.33
12/01/2015,125.37
12/02/2015,128.93
12/03/2015,126.81
12/04/2015,130.93
12/07/2015,125.36
12/08/2015,126.98
12/09/2015,124.2
12/10/2015,122.91
12/11/2015,118.91
12/14/2015,120.67
12/15/2015,118.6
12/16/2015,122.64
12/17/2015,122.51
12/18/2015,118.02
12/21/2015,116.63
12/22/2015,116.24
12/23/2015,118.16
12/24/2015,117.33
12/28/2015,117.11
12/29/2015,119.12
12/30/2015,116.71
12/31/2015,114.38
01/04/2016,109.96
01/05/2016,107.66
01/06/2016,117.68
01/07/2016,114.56
01/08/2016,111.39
01/11/2016,114.97
01/12/2016,116.58
01/13/2016,106.56
01/14/2016,107.06
01/15/2016,104.04
01/19/2016,107.89
01/20/2016,107.74
01/21/2016,102.35
01/22/2016,100.72
01/25/2016,99.12
01/26/2016,97.83
01/27/2016,91.15
01/28/2016,94.41
01/29/2016,91.84
02/01/2016,94.09
02/02/2016,91.49
02/03/2016,90.74
02/04/2016,89.71
02/05/2016,82.79
02/08/2016,83.32
02/09/2016,86.13
02/10/2016,88.45
